DBH,H,WD,Continent,Rainfall,OldGrowth,ForestType,DryMonths,Altitude,AGB
6.4,5.0,1.04,Asia,1700.0,1.0,Dry,8,20,26.2450818689106
7.3,5.0,1.04,Asia,1700.0,1.0,Dry,8,20,31.690380222887388
7.8,5.5,1.04,Asia,1700.0,1.0,Dry,8,20,35.30590000206371
