DBH,H,WD,Continent,Rainfall,OldGrowth,ForestType,DryMonths,Altitude
6.4,5.0,1.04,Asia,1700.0,1.0,Dry,8,20
7.3,5.0,1.04,Asia,1700.0,1.0,Dry,8,20
7.8,5.5,1.04,Asia,1700.0,1.0,Dry,8,20
